This file was created by CMPT_IND_RETS using the 202212 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth ,Other
  1958,  63.77,  53.34,  79.74,  85.48,  64.08
  1959,  21.93,  12.45,  38.11,  34.59,   4.44
  1960,   2.50,  -3.27,  -3.47,   6.10,  -4.11
  1961,  38.66,  26.87,  19.20,  26.35,  29.95
  1962, -16.37, -10.01, -23.73, -20.34,  -6.26
  1963,  13.05,  18.17,   8.70,  21.08,  21.86
  1964,  18.74,  20.34,   7.13,  17.90,  19.76
  1965,  33.28,  33.34,  66.92,  38.00,  34.65
  1966, -13.45,  -3.65,   1.75,  -0.24,  -6.55
  1967,  88.07,  66.33,  96.00,  46.23,  90.47
  1968,  56.05,  32.98,  15.94,  13.62,  62.15
  1969, -27.17, -25.43, -26.38,  12.72, -28.57
  1970,  -7.82,  -5.74, -31.92, -15.22, -13.16
  1971,  25.03,  13.66,  22.98,  29.06,  21.78
  1972,  -1.21,  11.60,  10.24,   6.09,  -0.69
  1973, -46.20, -23.89, -37.90, -39.14, -38.26
  1974, -24.84, -15.41, -35.24, -24.23, -27.88
  1975,  85.00,  57.55,  83.36,  58.41,  55.33
  1976,  42.74,  53.06,  60.72,  37.75,  51.02
  1977,  17.30,  19.03,  31.51,  29.75,  29.02
  1978,  22.39,  18.30,  48.74,  35.83,  28.93
  1979,  24.35,  50.81,  57.13,  39.39,  38.66
  1980,  25.89,  42.18,  70.35,  59.72,  43.00
  1981,  12.25,  -6.88,  -6.99,   5.44,   3.50
  1982,  44.47,   1.27,  41.01,  52.95,  29.20
  1983,  47.49,  34.07,  29.06,  17.24,  41.11
  1984,  -7.73,  -7.49, -24.79, -15.10,  -8.00
  1985,  26.98,  14.67,  16.07,  35.70,  37.47
  1986,  11.79,   3.33,  -2.46,   4.19,  11.65
  1987, -15.87,   3.24, -10.46, -18.83, -10.85
  1988,  27.01,  23.37,  16.57,  23.67,  15.27
  1989,   8.72,  17.95,   8.02,  15.79,   7.28
  1990, -26.47, -12.96, -21.71,  -2.33, -30.69
  1991,  51.08,  33.69,  65.39, 154.01,  45.39
  1992,  28.67,  21.04,  30.96,   8.72,  45.21
  1993,  20.58,  26.89,  33.64,  -3.60,  31.89
  1994, -11.95,   1.78,   5.72, -13.94,  -4.44
  1995,   9.36,  19.60,  51.74,  68.69,  35.63
  1996,  14.64,  25.12,  10.20,  13.70,  20.43
  1997,  13.52,  25.01,  11.11,   3.32,  38.91
  1998,   3.50, -17.46,   8.47, -12.65,  -4.27
  1999,   3.93,  12.40, 133.15,  44.58,   7.86
  2000, -18.65,  13.82, -41.23,  28.78,  -3.64
  2001,  39.83,   6.86,  10.45,  46.90,  29.99
  2002,  -4.22, -10.25, -30.97, -32.89,   2.39
  2003,  54.84,  57.77, 115.11, 116.43,  58.88
  2004,  23.23,  34.17,  11.63,  15.95,  23.72
  2005,   2.72,  17.62,  -3.53,  -3.51,   6.01
  2006,  18.47,  21.36,  12.98,  11.33,  17.34
  2007, -12.67,   8.27,  -0.55,  -4.84, -16.79
  2008, -48.15, -46.89, -50.69, -40.06, -41.45
  2009,  98.93,  62.04,  96.80,  98.16,  25.95
  2010,  30.75,  34.77,  34.87,  21.97,  21.34
  2011,  -6.68,  -6.02, -13.44, -10.95, -10.44
  2012,  21.96,   8.97,  10.64,  25.44,  25.86
  2013,  43.79,  37.33,  50.77,  56.15,  42.23
  2014,   4.63,  -8.46,   2.41,  14.20,   8.06
  2015,  -9.48, -22.43,  -3.48,   2.35,  -3.08
  2016,  16.03,  33.62,  17.35, -11.21,  30.89
  2017,   6.51,  10.37,  25.93,  25.49,  14.47
  2018, -14.25, -22.04,  -6.61, -22.48, -13.65
  2019,  17.60,  12.04,  27.65,  25.96,  26.30
  2020,  42.68,  18.60,  65.98,  63.63,  12.58
  2021,  36.13,  42.45,  18.16, -10.86,  31.47
  2022, -28.07,  -2.27, -37.62, -41.54, -20.80


  Number of Firms in Portfolios
,Cnsmr,Manuf,HiTec,Hlth ,Other
192607,    168,    199,     23,      7,    113
192608,    168,    199,     23,      7,    113
192609,    168,    198,     23,      7,    113
192610,    168,    198,     23,      7,    113
192611,    168,    198,     23,      7,    113
192612,    167,    198,     23,      7,    112
192701,    167,    197,     23,      7,    112
192702,    165,    197,     23,      7,    111
192703,    165,    197,     23,      7,    111
192704,    165,    197,     22,      7,    110
192705,    165,    197,     22,      7,    110
192706,    165,    196,     22,      7,    110
192707,    187,    207,     24,      7,    122
192708,    187,    206,     24,      7,    122
192709,    187,    206,     24,      7,    122
192710,    187,    206,     24,      7,    122
192711,    186,    204,     23,      7,    122
192712,    186,    204,     23,      7,    122
192801,    185,    204,     23,      7,    122
192802,    185,    204,     23,      7,    122
192803,    185,    202,     23,      6,    122
192804,    185,    202,     23,      6,    122
192805,    185,    202,     22,      6,    122
192806,    184,    202,     22,      6,    122
192807,    201,    218,     23,      6,    122
192808,    200,    218,     23,      6,    122
192809,    200,    218,     23,      6,    122
192810,    200,    218,     23,      6,    121
192811,    200,    218,     23,      6,    121
192812,    199,    218,     23,      6,    121
192901,    197,    218,     23,      5,    120
192902,    197,    218,     23,      5,    120
192903,    197,    218,     22,      5,    120
192904,    197,    218,     22,      5,    120
192905,    196,    217,     22,      5,    120
192906,    195,    217,     22,      5,    119
192907,    232,    253,     24,      6,    132
192908,    232,    252,     24,      6,    132
192909,    232,    252,     24,      6,    131
192910,    231,    250,     24,      6,    130
192911,    231,    250,     24,      6,    130
192912,    230,    250,     24,      6,    129
193001,    230,    249,     24,      6,    128
193002,    228,    249,     24,      6,    128
193003,    228,    248,     24,      5,    128
193004,    227,    246,     24,      5,    127
193005,    227,    245,     24,      5,    127
193006,    225,    244,     24,      4,    126
193007,    240,    278,     31,      5,    143
193008,    240,    277,     31,      5,    143
193009,    240,    276,     31,      5,    143
193010,    240,    274,     31,      5,    143
193011,    239,    274,     31,      5,    143
193012,    239,    274,     31,      5,    143
193101,    239,    273,     31,      5,    142
193102,    239,    271,     31,      5,    142
193103,    238,    271,     31,      5,    141
193104,    238,    271,     30,      5,    141
193105,    237,    271,     30,      5,    141
193106,    237,    271,     30,      5,    140
193107,    242,    284,     30,      6,    141
193108,    242,    284,     30,      6,    140
193109,    242,    283,     30,      6,    140
193110,    241,    282,     30,      6,    139
193111,    241,    282,     30,      6,    139
193112,    240,    280,     30,      6,    138
193201,    240,    280,     30,      6,    138
193202,    240,    280,     30,      6,    138
193203,    238,    279,     30,      6,    138
193204,    237,    278,     30,      6,    134
193205,    236,    277,     30,      6,    134
193206,    232,    276,     30,      6,    132
193207,    233,    279,     29,      6,    133
193208,    231,    279,     29,      6,    133
193209,    230,    278,     29,      6,    133
193210,    230,    278,     29,      6,    133
193211,    229,    278,     29,      6,    133
193212,    227,    277,     29,      6,    132
193301,    227,    277,     29,      6,    132
193302,    226,    277,     29,      6,    132
193303,    225,    276,     29,      6,    132
193304,    225,    276,     29,      6,    132
193305,    225,    274,     29,      6,    132
193306,    221,    272,     29,      6,    132
193307,    222,    277,     31,      6,    138
193308,    222,    276,     31,      6,    138
193309,    222,    276,     31,      6,    137
193310,    222,    276,     31,      6,    137
193311,    222,    276,     31,      6,    137
193312,    222,    276,     30,      6,    137
193401,    222,    276,     30,      6,    136
193402,    222,    276,     30,      6,    136
193403,    222,    276,     30,      6,    136
193404,    222,    276,     30,      6,    136
193405,    222,    274,     30,      6,    136
193406,    222,    274,     30,      6,    136
193407,    226,    275,     31,      9,    142
193408,    226,    275,     31,      9,    142
193409,    226,    275,     31,      9,    142
193410,    226,    274,     31,      9,    138
193411,    226,    273,     31,      9,    138
193412,    226,    273,     31,      9,    138
193501,    226,    273,     31,      9,    137
193502,    224,    273,     31,      9,    137
193503,    224,    273,     31,      9,    137
193504,    223,    273,     31,      9,    137
193505,    223,    273,     30,      9,    136
193506,    223,    273,     30,      9,    136
193507,    224,    275,     30,      9,    139
193508,    224,    274,     30,      9,    139
193509,    223,    274,     30,      9,    137
193510,    223,    274,     30,      9,    137
193511,    223,    274,     30,      9,    137
193512,    223,    273,     30,      9,    137
193601,    223,    273,     30,      9,    137
193602,    223,    272,     30,      9,    137
193603,    221,    272,     30,      9,    137
193604,    221,    271,     30,      9,    137
193605,    220,    271,     30,      9,    137
193606,    220,    271,     30,      9,    137
193607,    238,    286,     31,     10,    143
193608,    238,    285,     31,     10,    142
193609,    238,    285,     31,     10,    142
193610,    238,    283,     31,     10,    141
193611,    238,    283,     31,     10,    141
193612,    238,    282,     31,     10,    141
193701,    237,    282,     31,     10,    138
193702,    237,    282,     31,     10,    138
193703,    237,    281,     31,     10,    138
193704,    237,    279,     31,     10,    138
193705,    237,    279,     31,     10,    138
193706,    237,    279,     31,     10,    138
193707,    250,    301,     34,     12,    145
193708,    250,    301,     34,     12,    145
193709,    250,    300,     34,     12,    145
193710,    250,    300,     34,     12,    145
193711,    250,    300,     34,     12,    145
193712,    250,    300,     34,     12,    145
193801,    250,    300,     34,     12,    145
193802,    250,    300,     34,     12,    145
193803,    250,    300,     34,     12,    145
193804,    250,    300,     34,     12,    144
193805,    249,    299,     34,     12,    143
193806,    249,    299,     34,     12,    143
193807,    253,    314,     35,     12,    147
193808,    251,    313,     35,     12,    146
193809,    251,    313,     35,     12,    146
193810,    251,    313,     35,     12,    145
193811,    251,    313,     35,     12,    144
193812,    250,    312,     35,     12,    141
193901,    250,    312,     35,     12,    141
193902,    250,    312,     35,     12,    141
193903,    250,    312,     35,     12,    141
193904,    250,    312,     35,     12,    140
193905,    249,    312,     35,     12,    140
193906,    249,    312,     35,     12,    139
193907,    250,    314,     36,     12,    138
193908,    250,    314,     36,     12,    136
193909,    250,    313,     36,     12,    134
193910,    250,    313,     36,     12,    133
193911,    250,    313,     36,     12,    132
193912,    250,    313,     36,     12,    132
194001,    250,    312,     36,     12,    132
194002,    250,    312,     36,     12,    132
194003,    250,    312,     36,     12,    132
194004,    250,    312,     36,     12,    132
194005,    248,    312,     36,     12,    132
194006,    248,    312,     36,     12,    132
194007,    254,    322,     36,     13,    138
194008,    253,    322,     36,     13,    137
194009,    253,    322,     36,     13,    135
194010,    253,    322,     36,     13,    134
194011,    253,    322,     36,     13,    134
194012,    251,    321,     36,     13,    134
194101,    251,    321,     36,     13,    134
194102,    251,    320,     36,     13,    134
194103,    251,    320,     36,     13,    134
194104,    251,    320,     36,     13,    134
194105,    251,    320,     36,     13,    134
194106,    251,    320,     36,     13,    133
194107,    253,    330,     38,     13,    138
194108,    253,    330,     38,     13,    137
194109,    253,    330,     38,     13,    137
194110,    253,    330,     38,     13,    137
194111,    253,    330,     38,     13,    136
194112,    253,    330,     38,     13,    136
194201,    253,    330,     38,     13,    136
194202,    253,    330,     38,     13,    136
194203,    252,    330,     38,     13,    136
194204,    252,    330,     38,     13,    136
194205,    252,    330,     38,     13,    136
194206,    252,    330,     38,     13,    136
194207,    253,    335,     39,     14,    138
194208,    253,    335,     39,     14,    138
194209,    253,    335,     39,     14,    138
194210,    252,    335,     39,     14,    138
194211,    252,    335,     39,     14,    138
194212,    252,    334,     39,     14,    138
194301,    252,    334,     39,     14,    138
194302,    252,    333,     39,     14,    138
194303,    252,    332,     39,     14,    138
194304,    252,    331,     39,     14,    138
194305,    252,    331,     39,     14,    138
194306,    252,    331,     39,     14,    137
194307,    254,    332,     40,     14,    137
194308,    254,    332,     40,     14,    137
194309,    254,    332,     40,     14,    137
194310,    254,    331,     40,     14,    137
194311,    254,    330,     40,     14,    137
194312,    254,    330,     40,     14,    135
194401,    254,    329,     40,     14,    133
194402,    254,    329,     40,     14,    132
194403,    254,    329,     40,     14,    132
194404,    254,    329,     40,     14,    132
194405,    254,    328,     40,     14,    132
194406,    254,    328,     40,     14,    132
194407,    257,    344,     43,     15,    135
194408,    257,    344,     43,     15,    135
194409,    256,    344,     43,     15,    135
194410,    255,    344,     43,     15,    134
194411,    255,    344,     43,     15,    134
194412,    255,    344,     43,     15,    133
194501,    254,    344,     43,     15,    133
194502,    254,    344,     43,     15,    133
194503,    254,    344,     43,     15,    133
194504,    254,    344,     43,     15,    133
194505,    254,    344,     43,     15,    133
194506,    254,    344,     43,     15,    133
194507,    266,    352,     46,     16,    138
194508,    266,    352,     46,     16,    138
194509,    266,    352,     46,     16,    138
194510,    265,    352,     46,     16,    138
194511,    265,    351,     46,     16,    137
194512,    265,    351,     46,     16,    137
194601,    265,    350,     46,     16,    137
194602,    264,    350,     46,     16,    137
194603,    264,    350,     46,     16,    137
194604,    264,    350,     46,     16,    137
194605,    264,    350,     46,     16,    137
194606,    263,    350,     46,     16,    137
194607,    274,    373,     48,     18,    142
194608,    273,    373,     48,     18,    142
194609,    273,    373,     48,     18,    142
194610,    272,    373,     48,     18,    142
194611,    272,    373,     47,     18,    142
194612,    272,    373,     47,     18,    142
194701,    272,    373,     47,     18,    142
194702,    272,    373,     47,     18,    142
194703,    272,    373,     47,     18,    142
194704,    272,    373,     47,     18,    142
194705,    272,    373,     47,     18,    142
194706,    272,    373,     47,     18,    141
194707,    289,    394,     50,     18,    146
194708,    289,    394,     50,     18,    146
194709,    289,    394,     50,     18,    146
194710,    289,    393,     50,     18,    146
194711,    289,    393,     50,     18,    146
194712,    289,    393,     50,     18,    146
194801,    289,    393,     50,     18,    146
194802,    289,    393,     50,     18,    146
194803,    289,    393,     50,     18,    146
194804,    289,    393,     50,     18,    146
194805,    289,    393,     50,     18,    146
194806,    289,    393,     50,     18,    146
194807,    300,    411,     51,     18,    154
194808,    300,    411,     51,     18,    154
194809,    300,    410,     51,     18,    154
194810,    300,    410,     51,     18,    154
194811,    300,    410,     51,     18,    154
194812,    300,    410,     51,     18,    154
194901,    300,    410,     51,     18,    154
194902,    300,    410,     51,     18,    154
194903,    300,    410,     51,     18,    154
194904,    300,    410,     51,     18,    154
194905,    300,    410,     51,     18,    154
194906,    300,    410,     51,     18,    154
194907,    304,    424,     53,     18,    158
194908,    304,    424,     53,     18,    158
194909,    304,    424,     53,     18,    158
194910,    304,    424,     53,     18,    158
194911,    304,    424,     53,     18,    158
194912,    304,    424,     53,     18,    157
195001,    302,    424,     53,     18,    157
195002,    302,    424,     53,     18,    157
195003,    302,    424,     53,     18,    157
195004,    302,    424,     53,     18,    157
195005,    302,    424,     52,     18,    157
195006,    302,    423,     52,     18,    157
195007,    303,    442,     52,     18,    159
195008,    303,    442,     52,     18,    159
195009,    303,    442,     52,     18,    159
195010,    303,    442,     52,     18,    159
195011,    303,    442,     52,     18,    159
195012,    302,    441,     52,     18,    159
195101,    302,    441,     52,     18,    158
195102,    302,    441,     52,     18,    158
195103,    302,    441,     52,     18,    158
195104,    302,    441,     52,     18,    158
195105,    302,    441,     52,     18,    158
195106,    302,    441,     52,     18,    158
195107,    307,    461,     54,     19,    161
195108,    306,    461,     54,     19,    161
195109,    306,    460,     54,     19,    161
195110,    306,    460,     54,     19,    161
195111,    306,    458,     54,     19,    161
195112,    306,    458,     54,     19,    161
195201,    306,    458,     54,     19,    161
195202,    306,    458,     54,     19,    161
195203,    306,    458,     54,     19,    160
195204,    305,    458,     54,     19,    160
195205,    305,    458,     54,     19,    160
195206,    305,    458,     54,     19,    160
195207,    309,    466,     57,     19,    160
195208,    309,    466,     57,     19,    160
195209,    309,    466,     57,     19,    160
195210,    309,    466,     57,     18,    160
195211,    309,    465,     57,     18,    160
195212,    309,    465,     57,     18,    160
195301,    309,    465,     57,     18,    160
195302,    308,    465,     56,     18,    160
195303,    306,    465,     55,     18,    160
195304,    306,    465,     55,     18,    160
195305,    306,    464,     55,     17,    157
195306,    306,    464,     55,     17,    157
195307,    307,    476,     58,     18,    161
195308,    306,    476,     58,     18,    161
195309,    304,    476,     58,     18,    161
195310,    303,    476,     58,     18,    161
195311,    303,    475,     58,     18,    161
195312,    303,    475,     58,     18,    161
195401,    303,    475,     58,     18,    161
195402,    303,    475,     58,     18,    161
195403,    303,    475,     58,     18,    161
195404,    303,    474,     58,     18,    161
195405,    302,    472,     58,     18,    161
195406,    302,    472,     58,     18,    161
195407,    301,    482,     59,     18,    162
195408,    301,    481,     59,     18,    162
195409,    301,    481,     59,     18,    162
195410,    300,    480,     59,     18,    160
195411,    300,    479,     59,     18,    160
195412,    300,    479,     59,     18,    160
195501,    300,    478,     59,     18,    160
195502,    298,    477,     59,     18,    160
195503,    298,    475,     59,     18,    160
195504,    298,    475,     59,     17,    159
195505,    298,    474,     58,     17,    158
195506,    298,    474,     58,     17,    158
195507,    302,    490,     58,     17,    159
195508,    302,    488,     58,     17,    158
195509,    301,    486,     58,     17,    158
195510,    300,    485,     58,     17,    158
195511,    300,    485,     58,     17,    158
195512,    298,    483,     58,     17,    158
195601,    296,    483,     58,     17,    158
195602,    295,    483,     58,     17,    158
195603,    295,    483,     58,     17,    158
195604,    295,    483,     58,     17,    158
195605,    293,    483,     58,     17,    158
195606,    293,    482,     58,     17,    156
195607,    294,    494,     60,     17,    158
195608,    293,    493,     60,     17,    157
195609,    293,    492,     60,     17,    156
195610,    293,    489,     60,     17,    156
195611,    292,    489,     60,     17,    156
195612,    292,    489,     60,     17,    156
195701,    292,    485,     60,     17,    156
195702,    292,    485,     60,     17,    156
195703,    292,    485,     60,     17,    156
195704,    291,    485,     60,     17,    156
195705,    289,    484,     60,     17,    156
195706,    288,    482,     60,     17,    156
195707,    293,    497,     69,     17,    160
195708,    292,    496,     68,     17,    160
195709,    292,    495,     68,     17,    159
195710,    290,    495,     67,     17,    159
195711,    290,    495,     66,     17,    159
195712,    290,    493,     66,     17,    157
195801,    290,    491,     66,     17,    157
195802,    289,    491,     66,     17,    157
195803,    287,    489,     66,     17,    156
195804,    287,    489,     66,     17,    156
195805,    286,    488,     66,     17,    156
195806,    285,    486,     66,     17,    156
195807,    281,    498,     72,     20,    167
195808,    281,    497,     72,     20,    166
195809,    281,    496,     72,     20,    164
195810,    281,    495,     72,     20,    162
195811,    281,    495,     72,     20,    162
195812,    280,    494,     72,     20,    162
195901,    280,    494,     72,     20,    162
195902,    278,    494,     72,     20,    162
195903,    277,    493,     71,     20,    160
195904,    277,    492,     71,     20,    158
195905,    277,    492,     71,     20,    158
195906,    277,    492,     71,     20,    157
195907,    284,    499,     78,     22,    160
195908,    284,    499,     78,     22,    159
195909,    284,    499,     78,     22,    159
195910,    283,    499,     77,     22,    159
195911,    283,    498,     77,     22,    159
195912,    283,    498,     76,     22,    158
196001,    283,    498,     75,     22,    158
196002,    283,    498,     75,     22,    157
196003,    282,    498,     75,     22,    157
196004,    281,    497,     75,     22,    156
196005,    281,    495,     74,     22,    156
196006,    281,    495,     74,     22,    156
196007,    290,    512,     83,     23,    164
196008,    289,    512,     83,     23,    164
196009,    289,    511,     83,     23,    164
196010,    286,    511,     83,     23,    163
196011,    285,    511,     83,     23,    162
196012,    284,    511,     83,     23,    162
196101,    282,    510,     83,     22,    162
196102,    279,    510,     83,     22,    161
196103,    279,    509,     83,     22,    161
196104,    278,    508,     83,     22,    161
196105,    278,    508,     83,     22,    161
196106,    277,    508,     83,     22,    160
196107,    290,    523,     90,     23,    164
196108,    289,    522,     90,     23,    162
196109,    288,    522,     90,     23,    161
196110,    287,    521,     90,     23,    161
196111,    287,    521,     89,     23,    160
196112,    287,    520,     88,     23,    159
196201,    286,    519,     88,     23,    159
196202,    285,    517,     88,     23,    159
196203,    285,    517,     88,     23,    159
196204,    285,    513,     88,     23,    158
196205,    284,    512,     88,     23,    158
196206,    284,    510,     87,     23,    158
196207,    296,    532,     98,     23,    163
196208,    296,    532,     98,     23,    163
196209,    296,    531,     98,     23,    163
196210,    295,    531,     98,     23,    163
196211,    294,    530,     98,     23,    163
196212,    294,    529,     98,     23,    163
196301,    294,    529,     98,     23,    162
196302,    294,    528,     98,     23,    162
196303,    293,    528,     98,     23,    162
196304,    293,    527,     98,     23,    161
196305,    291,    525,     97,     23,    160
196306,    291,    524,     96,     23,    160
196307,    557,    860,    154,     36,    347
196308,    556,    859,    154,     36,    343
196309,    554,    854,    154,     36,    343
196310,    553,    851,    153,     36,    340
196311,    552,    849,    153,     36,    339
196312,    549,    842,    153,     36,    338
196401,    547,    836,    153,     36,    338
196402,    547,    835,    153,     36,    338
196403,    545,    832,    153,     36,    337
196404,    544,    830,    152,     36,    335
196405,    541,    826,    151,     36,    334
196406,    540,    823,    151,     36,    334
196407,    583,    864,    166,     38,    346
196408,    582,    863,    166,     38,    345
196409,    580,    858,    166,     38,    344
196410,    580,    855,    166,     38,    341
196411,    579,    853,    166,     38,    340
196412,    577,    850,    164,     38,    340
196501,    576,    845,    163,     38,    339
196502,    572,    842,    163,     38,    338
196503,    571,    840,    160,     38,    335
196504,    569,    837,    160,     38,    335
196505,    568,    835,    160,     38,    332
196506,    566,    833,    160,     38,    331
196507,    602,    868,    176,     39,    358
196508,    601,    866,    175,     39,    357
196509,    597,    862,    174,     39,    356
196510,    592,    859,    174,     39,    355
196511,    591,    857,    174,     39,    353
196512,    588,    855,    173,     39,    353
196601,    585,    852,    172,     38,    350
196602,    583,    846,    172,     38,    348
196603,    582,    845,    172,     38,    348
196604,    579,    842,    172,     38,    348
196605,    573,    839,    171,     38,    347
196606,    569,    836,    171,     38,    346
196607,    606,    869,    185,     39,    361
196608,    606,    868,    184,     39,    357
196609,    605,    867,    184,     39,    356
196610,    604,    863,    184,     39,    354
196611,    600,    860,    184,     39,    352
196612,    597,    858,    183,     39,    348
196701,    595,    857,    183,     39,    346
196702,    594,    855,    183,     39,    345
196703,    592,    852,    181,     39,    345
196704,    590,    851,    179,     39,    343
196705,    585,    846,    177,     39,    340
196706,    581,    843,    177,     39,    338
196707,    606,    884,    192,     40,    347
196708,    603,    880,    192,     40,    345
196709,    599,    871,    191,     40,    343
196710,    595,    866,    188,     40,    342
196711,    590,    863,    187,     40,    341
196712,    587,    857,    186,     39,    340
196801,    583,    844,    184,     38,    339
196802,    581,    840,    183,     38,    336
196803,    578,    839,    183,     38,    334
196804,    575,    834,    183,     38,    331
196805,    572,    829,    183,     38,    330
196806,    566,    819,    182,     38,    327
196807,    604,    858,    210,     44,    344
196808,    603,    856,    210,     44,    342
196809,    601,    852,    209,     44,    339
196810,    597,    844,    208,     44,    339
196811,    594,    839,    207,     44,    338
196812,    591,    831,    207,     44,    336
196901,    585,    827,    207,     44,    333
196902,    582,    822,    206,     44,    332
196903,    580,    820,    205,     44,    328
196904,    576,    819,    203,     44,    327
196905,    575,    815,    201,     44,    326
196906,    572,    813,    201,     44,    323
196907,    640,    853,    228,     49,    371
196908,    639,    851,    226,     49,    370
196909,    637,    849,    226,     49,    366
196910,    637,    848,    225,     49,    366
196911,    636,    844,    224,     49,    365
196912,    630,    843,    222,     49,    365
197001,    628,    841,    222,     49,    365
197002,    627,    839,    222,     49,    365
197003,    627,    839,    222,     49,    361
197004,    627,    837,    220,     49,    358
197005,    625,    832,    220,     49,    358
197006,    621,    831,    219,     49,    356
197007,    689,    868,    225,     53,    406
197008,    687,    866,    224,     53,    404
197009,    687,    866,    221,     53,    403
197010,    687,    863,    221,     53,    403
197011,    685,    862,    220,     52,    402
197012,    682,    856,    219,     52,    400
197101,    678,    855,    219,     51,    399
197102,    675,    853,    219,     51,    398
197103,    673,    852,    218,     51,    396
197104,    671,    849,    216,     51,    396
197105,    670,    845,    213,     51,    393
197106,    668,    843,    211,     51,    391
197107,    715,    869,    221,     60,    440
197108,    714,    868,    221,     60,    439
197109,    714,    868,    219,     60,    439
197110,    714,    868,    219,     60,    439
197111,    713,    865,    219,     60,    439
197112,    713,    864,    218,     60,    437
197201,    712,    859,    217,     60,    437
197202,    712,    859,    217,     60,    436
197203,    710,    858,    216,     60,    434
197204,    709,    856,    215,     60,    432
197205,    709,    854,    215,     60,    429
197206,    708,    853,    214,     60,    426
197207,    770,    881,    221,     70,    486
197208,    764,    880,    221,     70,    483
197209,    763,    879,    221,     70,    483
197210,    760,    878,    221,     70,    482
197211,    759,    876,    219,     70,    480
197212,    758,    874,    219,     70,    480
197301,    753,    872,    218,     70,    479
197302,    750,    869,    217,     70,    478
197303,    749,    867,    217,     70,    476
197304,    747,    867,    216,     70,    475
197305,    741,    863,    214,     70,    473
197306,    739,    863,    213,     70,    472
197307,   1307,   1317,    469,    136,   1919
197308,   1294,   1310,    466,    136,   1900
197309,   1287,   1306,    463,    133,   1889
197310,   1279,   1303,    459,    133,   1878
197311,   1264,   1290,    451,    133,   1848
197312,   1248,   1283,    445,    130,   1819
197401,   1242,   1278,    443,    128,   1805
197402,   1237,   1275,    440,    128,   1798
197403,   1235,   1274,    434,    128,   1788
197404,   1228,   1269,    431,    127,   1782
197405,   1217,   1260,    428,    125,   1771
197406,   1207,   1256,    425,    125,   1757
197407,   1199,   1268,    431,    130,   1729
197408,   1190,   1263,    425,    129,   1717
197409,   1178,   1262,    420,    129,   1708
197410,   1168,   1259,    416,    129,   1698
197411,   1163,   1252,    414,    129,   1688
197412,   1159,   1242,    411,    129,   1676
197501,   1150,   1238,    409,    126,   1666
197502,   1149,   1236,    407,    125,   1662
197503,   1145,   1232,    405,    125,   1658
197504,   1142,   1227,    405,    125,   1649
197505,   1141,   1226,    404,    125,   1646
197506,   1133,   1220,    399,    122,   1639
197507,   1143,   1258,    406,    135,   1653
197508,   1139,   1252,    404,    135,   1648
197509,   1137,   1251,    403,    134,   1646
197510,   1134,   1249,    403,    132,   1638
197511,   1128,   1246,    402,    132,   1634
197512,   1122,   1244,    400,    130,   1628
197601,   1118,   1237,    399,    130,   1620
197602,   1115,   1232,    399,    130,   1616
197603,   1105,   1231,    398,    130,   1612
197604,   1099,   1229,    394,    129,   1606
197605,   1097,   1220,    393,    129,   1600
197606,   1092,   1216,    392,    129,   1597
197607,   1140,   1280,    411,    135,   1658
197608,   1131,   1273,    411,    135,   1652
197609,   1129,   1270,    409,    135,   1646
197610,   1127,   1264,    409,    135,   1643
197611,   1124,   1260,    407,    134,   1641
197612,   1122,   1253,    404,    130,   1634
197701,   1114,   1248,    400,    129,   1628
197702,   1110,   1243,    398,    128,   1624
197703,   1102,   1238,    398,    127,   1620
197704,   1100,   1234,    397,    126,   1617
197705,   1095,   1224,    396,    124,   1615
197706,   1089,   1218,    396,    123,   1612
197707,   1129,   1274,    430,    133,   1668
197708,   1118,   1269,    427,    132,   1660
197709,   1114,   1264,    425,    132,   1650
197710,   1107,   1257,    423,    131,   1644
197711,   1103,   1253,    421,    130,   1642
197712,   1096,   1241,    418,    128,   1637
197801,   1087,   1232,    413,    125,   1622
197802,   1081,   1229,    412,    125,   1613
197803,   1076,   1225,    411,    125,   1607
197804,   1071,   1216,    408,    124,   1604
197805,   1062,   1202,    406,    123,   1598
197806,   1053,   1185,    404,    120,   1591
197807,   1072,   1237,    422,    124,   1656
197808,   1061,   1228,    420,    124,   1648
197809,   1054,   1225,    418,    122,   1639
197810,   1045,   1221,    416,    122,   1630
197811,   1041,   1216,    414,    122,   1621
197812,   1037,   1212,    410,    121,   1613
197901,   1026,   1201,    408,    121,   1602
197902,   1020,   1195,    407,    120,   1589
197903,   1017,   1190,    405,    119,   1585
197904,   1011,   1187,    401,    118,   1572
197905,   1009,   1184,    399,    117,   1564
197906,   1000,   1178,    395,    115,   1549
197907,   1018,   1230,    442,    127,   1640
197908,   1012,   1221,    441,    126,   1632
197909,   1007,   1218,    439,    124,   1623
197910,   1003,   1213,    438,    124,   1619
197911,    996,   1209,    433,    124,   1612
197912,    990,   1204,    428,    123,   1606
198001,    980,   1194,    425,    123,   1586
198002,    974,   1190,    423,    122,   1581
198003,    970,   1187,    422,    122,   1570
198004,    964,   1180,    420,    119,   1563
198005,    958,   1176,    416,    117,   1552
